Cosmetic_ID,Brand,Name,Type
642,Benefit,Blush,"
Face
"
644,Benefit,Box,oâ€™
645,Benefit,California,Kissin'
646,Benefit,Chachatint,"
Pot
"
647,Benefit,Concealer,"
Face
"
648,Benefit,Cream,Shadow
649,Benefit,Creaseless,Cream
650,Benefit,Dr.,Feelgood
651,Benefit,Dual,Pencil
652,bareMinerals,READY,Eyeshadow
653,Benefit,False,Eyelashes
654,Benefit,Fine-One-One,"
Powder
"
655,Benefit,Foamingly,Clean
656,Benefit,Foundation,"
Face
"
657,Benefit,Full-Finish,Lipstick
658,Benefit,Girl,Meets
659,Benefit,Hard,Angle
660,Benefit,High,Brow
661,Benefit,High,Brow
662,Benefit,Individual,False
663,Benefit,Instant,Brow
664,Benefit,It's,Potent!
665,Benefit,Lash,Glue
666,Benefit,Lemon,Aid
667,Benefit,Lip,Plump
668,Benefit,Longwear,Powder
669,Benefit,Magic,Ink
670,Benefit,Moisture,Prep
672,Benefit,Pocket,Pal
673,Benefit,Posiepal,"
Lipgloss
"
674,Benefit,Powder,Shadow
675,Benefit,prrrowl,mascara
676,Benefit,Refined,Finish
677,Benefit,Remove,It
678,Benefit,Silky-Finish,Lipstick
679,Benefit,Speed,Brow
680,Benefit,Stay,Don't
681,Benefit,Stay,Donâ€™t
682,Benefit,Sun,Beam
683,Benefit,Take,a
684,Benefit,That,Gal
685,Benefit,They're,Real!
686,Benefit,They're,Real!
687,Benefit,Tweezerman,for
688,Benefit,Tweezerman,for
689,Benefit,Tweezerman,for
690,Benefit,Tweezerman,for
691,Benefit,Ultra,Plush
692,Benefit,Ultra,Plush
693,Benefit,Ultra,Radiance
694,Benefit,Ultra,Shines
695,Benefit,Velvet,Eyeshadow
696,Benefit,Brow,Palette
697,Benefit,Brow,Zings
698,Benefit,Brow,Zings
699,Benefit,Eye,Bright
700,Benefit,Brow,Highlighter
701,Benefit,Natural-Shaded,Powder
702,Benefit,Makeup,Palette
703,Benefit,Ultra,Shines
704,Benefit,Eye,Palette
705,Benefit,Base,Shadow
706,Benefit,Countour,Shadow
707,Benefit,Highlight,Shadow
708,Benefit,Contour,Shadow
709,Benefit,Liner,Shadow
710,Benefit,Eyeshadow,"
Powder
"
711,Benefit,Liquid,Highlighter
712,Benefit,Lip,Gloss
713,Essie,All,In
714,Essie,Apricot,Cuticle
715,Essie,Fill,In
716,Essie,First,Base
717,Essie,Good,to
718,Essie,Grow,Faster
719,Essie,Grow,Stronger
720,Essie,Millionails,Treatment
721,Essie,Nail,Lacquer
722,Essie,No,Chips
723,Essie,Protein,Base
724,Essie,Ridge,Filling
725,Essie,Sensitivity,Base
726,Deborah,Lippmann,Nail
727,Deborah,Lippmann,Lip
728,Deborah,Lippmann,2
729,Deborah,Lippmann,Addicted
730,Deborah,Lippmann,Cuticle
731,Deborah,Lippmann,Cuticle
732,Deborah,Lippmann,Fast
733,Deborah,Lippmann,Flat
734,Deborah,Lippmann,Foot
735,Deborah,Lippmann,Get
736,Deborah,Lippmann,Hard
737,Deborah,Lippmann,On
738,Deborah,Lippmann,Rehydrating
739,Deborah,Lippmann,Rich
740,Deborah,Lippmann,Ridge
741,Deborah,Lippmann,Smoother
742,Deborah,Lippmann,Soul
743,Deborah,Lippmann,Steppin'
744,Deborah,Lippmann,The
745,Deborah,Lippmann,The
746,Deborah,Lippmann,Tools
747,Deborah,Lippmann,Turn
748,Deborah,Lippmann,Umbrella
749,Zoya,Anchor,Base
750,Zoya,Fast,Drops
751,Zoya,Get,Even
752,Zoya,Hot,Lips
753,Zoya,Nail,Lacquer
754,Zoya,Remove,Plus
755,Zoya,Renew,Nail
756,China,Glaze,Calcium
